person,prop,ppa,date,date_precision,date_prop,date_propLabel,pqv,s
https://beyond-notability.wikibase.cloud/entity/Q984,https://beyond-notability.wikibase.cloud/entity/P120,https://beyond-notability.wikibase.cloud/entity/Q3269,1887-12-01T00:00:00Z,10,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/c0310c14cb982999c7953317a7b176dd,https://beyond-notability.wikibase.cloud/entity/statement/Q984-32453b09-4f5f-574c-5642-9672919c0ca8
https://beyond-notability.wikibase.cloud/entity/Q894,https://beyond-notability.wikibase.cloud/entity/P113,https://beyond-notability.wikibase.cloud/entity/Q756,1891-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/70daf498bfce1a97391abb11a11f0875,https://beyond-notability.wikibase.cloud/entity/statement/Q894-6cc14f07-43a8-653a-d50a-c0868513b310
https://beyond-notability.wikibase.cloud/entity/Q849,https://beyond-notability.wikibase.cloud/entity/P113,https://beyond-notability.wikibase.cloud/entity/Q772,1891-10-02T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/18708644265c5a20ec58678c3a9cbb81,https://beyond-notability.wikibase.cloud/entity/statement/Q849-a9a986d4-4205-0636-af55-d1fefbd60dc0
https://beyond-notability.wikibase.cloud/entity/Q894,https://beyond-notability.wikibase.cloud/entity/P113,https://beyond-notability.wikibase.cloud/entity/Q772,1891-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/70daf498bfce1a97391abb11a11f0875,https://beyond-notability.wikibase.cloud/entity/statement/Q894-38a8492d-435c-1bb6-97b2-da17e590ba55
https://beyond-notability.wikibase.cloud/entity/Q970,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1918,1892-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/9ea831926752a79efc1d36e45b81e9de,https://beyond-notability.wikibase.cloud/entity/statement/Q970-690bf97c-454a-6539-1209-8393cdc23be5
https://beyond-notability.wikibase.cloud/entity/Q988,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1918,1892-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/9ea831926752a79efc1d36e45b81e9de,https://beyond-notability.wikibase.cloud/entity/statement/Q988-d74b22d5-47ec-baea-1197-8a82264047ff
https://beyond-notability.wikibase.cloud/entity/Q1047,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q664,1891-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/70daf498bfce1a97391abb11a11f0875,https://beyond-notability.wikibase.cloud/entity/statement/Q1047-93b8bf29-4e9d-8ba5-e9b0-2a1f4d5042bf
https://beyond-notability.wikibase.cloud/entity/Q840,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q664,1891-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/70daf498bfce1a97391abb11a11f0875,https://beyond-notability.wikibase.cloud/entity/statement/Q840-94036746-4e36-8c94-bd4b-bd5c95ac6a0c
https://beyond-notability.wikibase.cloud/entity/Q1143,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q1,1891-01-22T00:00:00Z,11,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/325414510145b93f01c2ca9d08e5053b,https://beyond-notability.wikibase.cloud/entity/statement/Q1143-1bb0a1b6-45b9-2aac-cb80-8734dcbdaf52
https://beyond-notability.wikibase.cloud/entity/Q894,https://beyond-notability.wikibase.cloud/entity/P13,https://beyond-notability.wikibase.cloud/entity/Q664,1891-01-01T00:00:00Z,9,https://beyond-notability.wikibase.cloud/entity/P1,point in time,https://beyond-notability.wikibase.cloud/value/70daf498bfce1a97391abb11a11f0875,https://beyond-notability.wikibase.cloud/entity/statement/Q894-94140d81-4114-326f-6c7b-9345318c265a
