person	personLabel	SALproposedLabel	SALproposed	SALsignatorypersonalLabel	SALsignatorypersonal	SALsignatorygeneralLabel	SALsignatorygeneral	RAIproposed	RAIproposedLabel	RAIseconded	RAIsecondedLabel	date
https://beyond-notability.wikibase.cloud/entity/Q2364	Mrs Speakman							https://beyond-notability.wikibase.cloud/entity/Q2291	Mrs Paskin	https://beyond-notability.wikibase.cloud/entity/Q41	Charles Hercules Read	1911-03-15T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2365	Miss Terrell							https://beyond-notability.wikibase.cloud/entity/Q2236	Henry Hoyle Howorth	https://beyond-notability.wikibase.cloud/entity/Q2236	Henry Hoyle Howorth	1911-03-15T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2369	Mrs Goodbody							https://beyond-notability.wikibase.cloud/entity/Q2370	William Munro Tapp	https://beyond-notability.wikibase.cloud/entity/Q287	Secretary	1911-11-15T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q2371	Susan Minet							https://beyond-notability.wikibase.cloud/entity/Q201	William Henry St John Hope	https://beyond-notability.wikibase.cloud/entity/Q2311	Mary Hope	1912-03-11T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Charles Hercules Read	https://beyond-notability.wikibase.cloud/entity/Q41							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	William Minet	https://beyond-notability.wikibase.cloud/entity/Q42							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Arthur Evans	https://beyond-notability.wikibase.cloud/entity/Q43							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Arthur Frederick Hill	https://beyond-notability.wikibase.cloud/entity/Q44							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	John Linton Myres	https://beyond-notability.wikibase.cloud/entity/Q45							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Hilary Jenkinson	https://beyond-notability.wikibase.cloud/entity/Q46							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	signatory indecipherable	https://beyond-notability.wikibase.cloud/entity/Q47							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Charles Lethbridge Kingsford	https://beyond-notability.wikibase.cloud/entity/Q48							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Aymer Vallance	https://beyond-notability.wikibase.cloud/entity/Q49							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Henry Reginald Holland Hall	https://beyond-notability.wikibase.cloud/entity/Q50							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Matthew Ingle Joyce	https://beyond-notability.wikibase.cloud/entity/Q51							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Reginald Campbell Thompson	https://beyond-notability.wikibase.cloud/entity/Q52							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Vernon Bryan Crowther-Beynon	https://beyond-notability.wikibase.cloud/entity/Q53							1920-04-28T00:00:00Z
https://beyond-notability.wikibase.cloud/entity/Q23	Eugénie Sellers Strong	Society of Antiquaries of London Council	https://beyond-notability.wikibase.cloud/entity/Q27	Walter Henry, Baron Northborne	https://beyond-notability.wikibase.cloud/entity/Q54							1920-04-28T00:00:00Z
