FSA	date	FSALabel	FSAgenderLabel	proposer	proposerLabel	proposergenderLabel	electedLabel
https://beyond-notability.wikibase.cloud/entity/Q874	1937-11-25T00:00:00Z	Frances Rose-Troup	woman	https://beyond-notability.wikibase.cloud/entity/Q180	Alexander Hamilton Thompson	man	not successful
https://beyond-notability.wikibase.cloud/entity/Q870	1938-03-31T00:00:00Z	Gertrude Caton-Thompson	woman	https://beyond-notability.wikibase.cloud/entity/Q45	John Linton Myres	man	successful
https://beyond-notability.wikibase.cloud/entity/Q868	1938-05-12T00:00:00Z	Thalassa Mary Hencken	woman	https://beyond-notability.wikibase.cloud/entity/Q869	Robert Holland Martin	man	successful
https://beyond-notability.wikibase.cloud/entity/Q867	1938-10-20T00:00:00Z	Lily Frances Chitty	woman	https://beyond-notability.wikibase.cloud/entity/Q99	Joscelyn Plunket Bushe-Fox	man	successful
https://beyond-notability.wikibase.cloud/entity/Q866	1939-01-19T00:00:00Z	Isobel Dorothy Thornley	woman	https://beyond-notability.wikibase.cloud/entity/Q157	Charles Johnson	man	successful
https://beyond-notability.wikibase.cloud/entity/Q106	1940-01-04T00:00:00Z	Jacquetta Hawkes	woman	https://beyond-notability.wikibase.cloud/entity/Q136	Mortimer Wheeler	man	successful
https://beyond-notability.wikibase.cloud/entity/Q712	1941-10-30T00:00:00Z	Katherine Margaret Richardson	woman	https://beyond-notability.wikibase.cloud/entity/Q136	Mortimer Wheeler	man	successful
https://beyond-notability.wikibase.cloud/entity/Q862	1942-02-26T00:00:00Z	Kathleen Major	woman	https://beyond-notability.wikibase.cloud/entity/Q180	Alexander Hamilton Thompson	man	successful
https://beyond-notability.wikibase.cloud/entity/Q864	1942-02-26T00:00:00Z	Jocelyn Mary Catherine Toynbee	woman	https://beyond-notability.wikibase.cloud/entity/Q863	Dorothy Annie Elizabeth Garrod	woman	successful
https://beyond-notability.wikibase.cloud/entity/Q858	1942-10-29T00:00:00Z	Cecil Louisa Curle	woman	https://beyond-notability.wikibase.cloud/entity/Q859	James Curle	man	successful
